dorm_name,capacity,latitude,longitude,formatted_address,place_id,dorm_name_clean,student_count,cluster,density,desirability_score,color
Alamito,505,29.8907069,-97.9421424,"102 Russell Cir, San Marcos, TX 78666, USA",ChIJXdq6QwCpXIYR3Llz2hvdYSY,alamito,505.0,4,1.0,0.27029704363654594,ba4400
Balcones,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E,balcones,430.0,1,1.0,0.1366070263521164,dc2200
Bexar,202,29.8863769,-97.9480979,"100 Llano Cir, San Marcos, TX 78666, USA",ChIJ7Xcbw2-oXIYR1YezPAGFypY,bexar,393.0,3,1.9455445544554455,0.5918846588446433,689600
Blanco,594,29.8871351,-97.9519144,"701 Moore St, San Marcos, TX 78666, USA",ChIJf9dt43CoXIYR0Mc75Frp3BI,blanco,1556.0,3,2.6195286195286194,0.6127064810675644,629c00
Bobcat Village Apartments,0,29.8931366,-97.9222567,"1301 Aquarena Springs Dr, San Marcos, TX 78666, USA",ChIJdfj5QEmoXIYRv3-CbegaNPE,bobcat village,1262.0,2,1.0,0.0641095890410959,ee1000
Brogdon,115,29.8882987,-97.9399,"Brogdon Hall, 607 N Edward Gary St, San Marcos, TX 78666, USA",ChIJf317q2moXIYRK7pBUqDQWcU,brogdon,227.0,1,1.9739130434782608,0.40572076095044085,976700
Butler,236,29.8870394,-97.9389694,"500 N Edward Gary St, San Marcos, TX 78666, USA",ChIJOWRJE8qpXIYRkK3CBpJY7IE,butler,476.0,1,2.016949152542373,0.4715545667643817,867800
Chautauqua,306,29.8904711,-97.946585,"302 Student Center Dr, San Marcos, TX 78666, USA",ChIJ_VMPEiKpXIYRtUs52qENkwk,chautauqua,609.0,0,1.9901960784313726,0.4294657562800812,916d00
College Inn,280,29.88933089999999,-97.9463904,"College Inn, San Marcos, TX 78666, USA",ChIJ-xRyaG6oXIYRieyzW_66PtM,college inn,564.0,0,2.0142857142857142,0.456323705055935,8a7400
Cypress,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E,cypress,555.0,1,1.0,0.1366070263521164,dc2200
Falls,286,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o,falls,582.0,3,2.034965034965035,0.48568878844035646,837b00
Jackson,423,29.8899181,-97.9445478,"702 Tomas Rivera Dr, San Marcos, TX 78666, USA",ChIJf_cWl26oXIYRMBVJBNd-laU,jackson,819.0,0,1.9361702127659575,0.42398896025000776,926c00
Lantana,239,29.8870106,-97.9397323,"San Marcos, TX 78666, USA",ChIJKe_XMKGpXIYRnBrcnmjt0fE,lantana,482.0,1,2.01673640167364,0.498576108276614,7f7f00
Laurel,141,29.8876145,-97.9406014,"Laurel Hall, 600 N LBJ Dr, San Marcos, TX 78666, USA",ChIJsY74Y8WpXIYRakDZucAEauU,laurel,279.0,1,1.9787234042553192,0.4469536911346302,8d7100
Mesquite,89,29.8881956,-97.940644,"Beretta Hall, 616 N LBJ Dr, San Marcos, TX 78666, USA",ChIJU-CvsmWpXIYR6tcCkGrcnoE,mesquite,167.0,1,1.8764044943820224,0.3930799692295427,9a6400
Retama,129,29.88783,-97.941214,"Retama Hall, 611 N LBJ Dr, San Marcos, TX 78666, USA",ChIJZ6bn42ioXIYRMQEY2mUeFDo,retama,259.0,4,2.007751937984496,0.44828966346169874,8c7200
San Jacinto,469,29.88692499999999,-97.944083,"217 W Woods St, San Marcos, TX 78666, USA",ChIJu1pGPG-oXIYRzOmV31N-VjE,san jacinto,925.0,4,1.9722814498933903,0.6861667657578515,50ae00
San Marcos,417,29.88692409999999,-97.9486761,"703 Academy St, San Marcos, TX 78666, USA",ChIJtQKhKHCoXIYRlEeOp5VKLRc,san marcos,830.0,3,1.9904076738609113,0.5158912587861095,7b8300
Sayers,292,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o,sayers,588.0,3,2.0136986301369864,0.4804362959381274,847a00
Sterry Hall,371,29.8863414,-97.9398855,"409 N Edward Gary St, San Marcos, TX 78666, USA",ChIJJRD_Y2ioXIYRLpx1xS-aZXY,sterry,737.0,1,1.986522911051213,0.5944009323702737,679700
Tower,434,29.8869345,-97.9430557,"101 W Woods St, San Marcos, TX 78666, USA",,tower,824.0,4,1.8986175115207373,0.553562369237782,718d00
