Location,Latitude,Longitude,Spaces
R56-SHC Thorpe,29.890614,97.945516,10
301-Llano Drive,29.886277,-97.948777,95
202-College Inn,29.889331,-97.94639,30
115-Residential,29.886604,-97.945323,85
Edward Gary St Garage,29.885832,-97.939751,196
112-San Jacinto Hall,29.887076,-97.944402,60
105-Admissions,29.886425,-97.942881,35
204-Jackson,29.890612,-97.944559,46
304-Academy Garage,29.885917,-97.947639,462
303-Blanco Garage,29.887755,-97.953557,271
106-Tower Garage,29.887299,-97.942917,249
306-Speck Garage,29.890936,-97.953764,342
108-Wood St Garage,29.887076,-97.944402,275
307-ASGH,29.889411,-97.946351,12
112-San Jacinto Garage,29.886925,-97.944383,227
113-Matthews Street Garage,29.890875,-97.94356,628
204-Jackson Rear,-97.943473322056,29.8903241807562,46
305-Moore Street,29.886483336151993,-97.95057498645716,121
Edward Gary Streer Garage,29.88588095128971,-97.93967006308584,285
Russell Street,29.889738049167452,-97.94373579665401,7
Student Ctr Dr/Arnold,29.89008130431256,-97.94327374995864,15
